time,power,power_factor
2025-11-08T11:42:30.018566,100.0,0.9
2025-11-08T11:41:30.018600,100.1,0.91
2025-11-08T11:40:30.018611,100.2,0.92
2025-11-08T11:39:30.018627,100.3,0.93
2025-11-08T11:38:30.018633,100.4,0.9400000000000001
2025-11-08T11:37:30.018641,100.5,0.9500000000000001
2025-11-08T11:36:30.018649,100.6,0.96
2025-11-08T11:35:30.018655,100.7,0.97
2025-11-08T11:34:30.018661,100.8,0.98
2025-11-08T11:33:30.018667,100.9,0.99
2025-11-08T11:32:30.018708,101.0,0.9
2025-11-08T11:31:30.018721,101.1,0.91
2025-11-08T11:30:30.018728,101.2,0.92
2025-11-08T11:29:30.018735,101.3,0.93
2025-11-08T11:28:30.018741,101.4,0.9400000000000001
2025-11-08T11:27:30.018748,101.5,0.9500000000000001
2025-11-08T11:26:30.018755,101.6,0.96
2025-11-08T11:25:30.018761,101.7,0.97
2025-11-08T11:24:30.018767,101.8,0.98
2025-11-08T11:23:30.018774,101.9,0.99
2025-11-08T11:22:30.018780,102.0,0.9
2025-11-08T11:21:30.018786,102.1,0.91
2025-11-08T11:20:30.018792,102.2,0.92
2025-11-08T11:19:30.018798,102.3,0.93
2025-11-08T11:18:30.018804,102.4,0.9400000000000001
2025-11-08T11:17:30.018811,102.5,0.9500000000000001
2025-11-08T11:16:30.018818,102.6,0.96
2025-11-08T11:15:30.018824,102.7,0.97
2025-11-08T11:14:30.018830,102.8,0.98
2025-11-08T11:13:30.018836,102.9,0.99
2025-11-08T11:12:30.018842,103.0,0.9
2025-11-08T11:11:30.018847,103.1,0.91
2025-11-08T11:10:30.018853,103.2,0.92
2025-11-08T11:09:30.018859,103.3,0.93
2025-11-08T11:08:30.018865,103.4,0.9400000000000001
2025-11-08T11:07:30.018872,103.5,0.9500000000000001
2025-11-08T11:06:30.018879,103.6,0.96
2025-11-08T11:05:30.018885,103.7,0.97
2025-11-08T11:04:30.018891,103.8,0.98
2025-11-08T11:03:30.018897,103.9,0.99
2025-11-08T11:02:30.018903,104.0,0.9
2025-11-08T11:01:30.018909,104.1,0.91
2025-11-08T11:00:30.018915,104.2,0.92
2025-11-08T10:59:30.018921,104.3,0.93
2025-11-08T10:58:30.018927,104.4,0.9400000000000001
2025-11-08T10:57:30.018934,104.5,0.9500000000000001
2025-11-08T10:56:30.018941,104.6,0.96
2025-11-08T10:55:30.018947,104.7,0.97
2025-11-08T10:54:30.018953,104.8,0.98
2025-11-08T10:53:30.018959,104.9,0.99
2025-11-08T10:52:30.018965,105.0,0.9
2025-11-08T10:51:30.018970,105.1,0.91
2025-11-08T10:50:30.018977,105.2,0.92
2025-11-08T10:49:30.018983,105.3,0.93
2025-11-08T10:48:30.018989,105.4,0.9400000000000001
2025-11-08T10:47:30.018995,105.5,0.9500000000000001
2025-11-08T10:46:30.019002,105.6,0.96
2025-11-08T10:45:30.019008,105.7,0.97
2025-11-08T10:44:30.019015,105.8,0.98
2025-11-08T10:43:30.019021,105.9,0.99
2025-11-08T10:42:30.019026,106.0,0.9
2025-11-08T10:41:30.019032,106.1,0.91
